## Table: LBDWH.V_T_MTH_AC_DTL
Library   : LBDWH
Schema    : DWHOWR
Engine    : ODBC (Oracle)
Variables : 130

## Variable Reference
# Num = Numeric, Char = Character

#  | Variable                       | Type | Len | Format      | Label
---|--------------------------------|------|-----|-------------|--------------------------------
1  | AC_CODE                        | Char | 20  | $20.        | AC_CODE
2  | PROC_DTE                       | Num  | 8   | DATETIME20. | PROC_DTE
3  | AC_STS_CODE                    | Char | 1   | $1.         | AC_STS_CODE
4  | EXTD_MAT_DTE                   | Num  | 8   | DATETIME20. | EXTD_MAT_DTE
5  | RCY_CUR_BAL                    | Num  | 8   | 17.2        | RCY_CUR_BAL
6  | LCY_CUR_BAL                    | Num  | 8   | 17.2        | LCY_CUR_BAL
7  | UPDT_DTE                       | Num  | 8   | DATETIME20. | UPDT_DTE
8  | UPDT_PRG                       | Char | 20  | $20.        | UPDT_PRG
9  | UPDT_USR                       | Char | 10  | $10.        | UPDT_USR
10 | ORGL_MAT_TERM                  | Num  | 8   | 14.6        | ORGL_MAT_TERM
11 | TERM_CODE                      | Char | 4   | $4.         | TERM_CODE
12 | BIZ_TYP_CODE                   | Char | 8   | $8.         | BIZ_TYP_CODE
13 | CTZ_CODE                       | Char | 3   | $3.         | CTZ_CODE
14 | CNTRY_CODE                     | Char | 2   | $2.         | CNTRY_CODE
15 | CIF_TYP_CODE                   | Char | 10  | $10.        | CIF_TYP_CODE
16 | MAS_CODE                       | Char | 5   | $5.         | MAS_CODE
17 | GL_BK_CODE                     | Char | 1   | $1.         | GL_BK_CODE
18 | RSDT_CODE                      | Char | 1   | $1.         | RSDT_CODE
19 | CIF_NO                         | Char | 7   | $7.         | CIF_NO
20 | CURCY_CODE                     | Char | 3   | $3.         | CURCY_CODE
21 | PRD_TYP_CODE                   | Char | 3   | $3.         | PRD_TYP_CODE
22 | PRD_CODE                       | Char | 7   | $7.         | PRD_CODE
23 | MI_PRD_CODE                    | Char | 15  | $15.        | MI_PRD_CODE
24 | PRD_GRP_CODE                   | Char | 10  | $10.        | PRD_GRP_CODE
25 | PURPOSE_CODE                   | Char | 2   | $2.         | PURPOSE_CODE
26 | CR_STS_CODE                    | Char | 1   | $1.         | CR_STS_CODE
27 | CR_STS_CHNG_DTE                | Num  | 8   | DATETIME20. | CR_STS_CHNG_DTE
28 | AC_AUTH_LMT                    | Num  | 8   | 17.2        | AC_AUTH_LMT
29 | AC_DRAW_LMT                    | Num  | 8   | 17.2        | AC_DRAW_LMT
30 | RT_TYP_CODE                    | Char | 3   | $3.         | RT_TYP_CODE
31 | BASE_RT                        | Num  | 8   | 20.9        | BASE_RT
32 | VAR_RT                         | Num  | 8   | 20.9        | VAR_RT
33 | NXT_RPRICE_DTE                 | Num  | 8   | DATETIME20. | NXT_RPRICE_DTE
34 | NXT_RPYM_DTE                   | Num  | 8   | DATETIME20. | NXT_RPYM_DTE
35 | LAST_RPYM_DTE                  | Num  | 8   | DATETIME20. | LAST_RPYM_DTE
36 | SYS_CODE                       | Char | 2   | $2.         | SYS_CODE
37 | FAC_CODE                       | Char | 3   | $3.         | FAC_CODE
38 | INT_BAS_DAYS                   | Num  | 8   | 6.          | INT_BAS_DAYS
